time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,subjects,KS2_Prior,num_U,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_X,All_Grades,perc_U,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,80 - 89.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,90 - 95.5,0,0,0,0,5,2,3,1,0,0,0,11,0,0,0,0,45.5,18.2,27.3,9.1,0,0
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,96 - 99.5,0,0,0,0,3,3,6,2,0,1,0,15,0,0,0,0,20,20,40,13.3,0,6.7
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,100 - 102,0,0,0,2,1,4,7,4,2,0,0,20,0,0,0,10,5,20,35,20,10,0
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,102.5 - 104.5,0,0,0,0,2,4,3,7,9,2,0,27,0,0,0,0,7.4,14.8,11.1,25.9,33.3,7.4
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,105 - 107,0,0,0,1,0,3,10,5,6,2,0,27,0,0,0,3.7,0,11.1,37,18.5,22.2,7.4
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,107.5 - 109.5,0,0,0,0,1,2,5,5,8,9,0,30,0,0,0,0,3.3,6.7,16.7,16.7,26.7,30
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,110 - 113,0,0,0,0,2,1,3,9,10,11,0,36,0,0,0,0,5.6,2.8,8.3,25,27.8,30.6
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,113.5 - 116.5,0,0,0,0,0,1,2,4,9,6,0,22,0,0,0,0,0,4.5,9.1,18.2,40.9,27.3
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Ancient Languages,117 - 120,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,50,50
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Art & Design,Less than 80,23,156,400,589,501,270,107,55,27,8,22,2158,1.1,7.3,18.7,27.6,23.5,12.6,5,2.6,1.3,0.4
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Art & Design,80 - 89.5,86,301,888,1817,1990,1220,472,147,60,22,48,7051,1.2,4.3,12.7,25.9,28.4,17.4,6.7,2.1,0.9,0.3
202021,Academic year,National,E92000001,England,Final,All Pupils,All Pupils,Art & Design,90 - 95.5,145,432,1155,2895,4505,3612,2063,848,337,124,79,16195,0.9,2.7,7.2,18,28,22.4,12.8,5.3,2.1,0.8
