"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","EBacc_all_Entered","EBacc_all_Not_Entered","EBacc_all_perc_Entered","EBacc_all_perc_Not_Entered","EBacc_9-4_Achieved","EBacc_9-4_Not_Achieved","EBacc_9-4_perc_Achieved","EBacc_9-4_perc_Not_Achieved","EBacc_9-5_Achieved","EBacc_9-5_Not_Achieved","EBacc_9-5_perc_Achieved","EBacc_9-5_perc_Not_Achieved","Basics_9-4_Achieved","Basics_9-4_Not_Achieved","Basics_9-4_perc_Achieved","Basics_9-4_perc_Not_Achieved","Basics_9-5_Achieved","Basics_9-5_Not_Achieved","Basics_9-5_perc_Achieved","Basics_9-5_perc_Not_Achieved"
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","Less than 80",437,11827,3.6,96.4,142,12122,1.2,98.8,76,12188,0.6,99.4,547,11717,4.5,95.5,246,12018,2,98
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","80 - 89.5",1832,21894,7.7,92.3,198,23528,0.8,99.2,58,23668,0.2,99.8,2080,21646,8.8,91.2,407,23319,1.7,98.3
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","90 - 95.5",9084,49727,15.4,84.6,2330,56481,4,96,692,58119,1.2,98.8,19089,39722,32.5,67.5,5287,53524,9,91
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","96 - 99.5",19460,60240,24.4,75.6,9055,70645,11.4,88.6,3378,76322,4.2,95.8,47089,32611,59.1,40.9,19557,60143,24.5,75.5
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","100 - 102",23299,48816,32.3,67.7,14141,57974,19.6,80.4,6617,65498,9.2,90.8,54252,17863,75.2,24.8,30010,42105,41.6,58.4
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","102.5 - 104.5",32036,46916,40.6,59.4,23181,55771,29.4,70.6,13569,65383,17.2,82.8,67151,11801,85.1,14.9,46348,32604,58.7,41.3
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","105 - 107",35091,38162,47.9,52.1,28744,44509,39.2,60.8,20052,53201,27.4,72.6,67126,6127,91.6,8.4,53822,19431,73.5,26.5
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","107.5 - 109.5",32965,26304,55.6,44.4,29516,29753,49.8,50.2,23568,35701,39.8,60.2,56763,2506,95.8,4.2,50503,8766,85.2,14.8
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","110 - 113",34311,19358,63.9,36.1,32508,21161,60.6,39.4,28894,24775,53.8,46.2,52687,982,98.2,1.8,50112,3557,93.4,6.6
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","113.5 - 116.5",17477,6496,72.9,27.1,17147,6826,71.5,28.5,16417,7556,68.5,31.5,23813,160,99.3,0.7,23455,518,97.8,2.2
