"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","num_U","num_11","num_22","num_33","num_44","num_55","num_66","num_77","num_88","num_99","num_X","All_Grades","perc_U","perc_11","perc_22","perc_33","perc_44","perc_55","perc_66","perc_77","perc_88","perc_99"
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","Less than 80",177,730,899,476,216,108,31,21,5,4,55,4449,4,16.6,20.5,10.8,4.9,2.5,0.7,0.5,0.1,0.1
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","80 - 89.5",615,2167,4097,3164,1261,377,49,20,8,2,120,20563,3,10.6,20,15.5,6.2,1.8,0.2,0.1,0,0
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","90 - 95.5",762,2031,5879,9842,7405,3321,614,247,74,29,196,53608,1.4,3.8,11,18.4,13.9,6.2,1.1,0.5,0.1,0.1
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","96 - 99.5",577,1205,3903,9397,13213,8710,2268,937,309,115,209,71324,0.8,1.7,5.5,13.2,18.6,12.2,3.2,1.3,0.4,0.2
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","100 - 102",366,617,1864,5462,10811,10233,3534,1633,570,231,121,61432,0.6,1,3,8.9,17.6,16.7,5.8,2.7,0.9,0.4
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","102.5 - 104.5",299,409,1203,3472,8642,11102,5403,2793,1060,442,124,61101,0.5,0.7,2,5.7,14.2,18.2,8.9,4.6,1.7,0.7
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","105 - 107",180,207,629,1697,5019,8299,5790,3673,1606,712,68,48738,0.4,0.4,1.3,3.5,10.3,17.1,11.9,7.5,3.3,1.5
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","107.5 - 109.5",110,88,236,672,2198,4354,4139,3212,1831,918,26,31385,0.4,0.3,0.8,2.1,7,13.9,13.2,10.2,5.8,2.9
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","110 - 113",49,37,78,215,802,1998,2578,2641,1888,1473,18,20445,0.2,0.2,0.4,1.1,3.9,9.8,12.6,12.9,9.2,7.2
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","113.5 - 116.5",10,4,13,31,104,282,485,718,800,1037,4,5760,0.2,0.1,0.2,0.5,1.8,4.9,8.4,12.5,13.9,18
202021,"Academic year","National","E92000001","England","Final","All Pupils","All Pupils","117 - 120",0,1,1,2,6,19,48,70,112,309,1,842,0,0.1,0.1,0.2,0.7,2.3,5.7,8.3,13.3,36.7
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","Less than 80",100,422,450,188,85,29,9,9,2,0,31,2098,4.8,20.4,21.8,9.1,4.1,1.4,0.4,0.4,0.1,0
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","80 - 89.5",438,1333,2107,1354,456,123,10,4,2,0,91,9870,4.5,13.6,21.5,13.8,4.7,1.3,0.1,0,0,0
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","90 - 95.5",527,1117,2775,3787,2240,903,168,68,19,6,145,20452,2.6,5.5,13.7,18.6,11,4.4,0.8,0.3,0.1,0
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","96 - 99.5",385,687,1900,3497,3867,2154,536,220,70,25,132,23113,1.7,3,8.3,15.2,16.8,9.4,2.3,1,0.3,0.1
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","100 - 102",234,348,927,2024,3121,2400,740,330,102,52,75,17981,1.3,1.9,5.2,11.3,17.4,13.4,4.1,1.8,0.6,0.3
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","102.5 - 104.5",187,252,576,1318,2528,2541,1068,497,204,99,73,15938,1.2,1.6,3.6,8.3,15.9,16,6.7,3.1,1.3,0.6
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","105 - 107",98,123,312,658,1440,1860,1063,611,234,111,34,11385,0.9,1.1,2.7,5.8,12.7,16.4,9.4,5.4,2.1,1
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","107.5 - 109.5",58,50,119,301,685,964,694,536,236,120,18,6559,0.9,0.8,1.8,4.6,10.5,14.7,10.6,8.2,3.6,1.8
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","110 - 113",25,23,40,93,247,472,429,354,222,157,10,3618,0.7,0.6,1.1,2.6,6.8,13.1,11.9,9.8,6.2,4.4
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","113.5 - 116.5",5,3,6,8,35,71,86,87,104,79,0,799,0.6,0.4,0.8,1,4.4,8.9,10.8,10.9,13,9.9
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Disadvantaged Pupils","117 - 120",0,0,1,0,2,8,11,13,16,20,0,116,0,0,0.9,0,1.7,6.9,9.5,11.2,13.8,17.2
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","Less than 80",77,308,449,288,131,79,22,12,3,4,24,2351,3.3,13.2,19.3,12.4,5.6,3.4,0.9,0.5,0.1,0.2
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","80 - 89.5",177,834,1990,1810,805,254,39,16,6,2,29,10693,1.7,7.8,18.7,17,7.5,2.4,0.4,0.2,0.1,0
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","90 - 95.5",235,914,3104,6055,5165,2418,446,179,55,23,51,33156,0.7,2.8,9.4,18.3,15.6,7.3,1.3,0.5,0.2,0.1
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","96 - 99.5",192,518,2003,5900,9346,6556,1732,717,239,90,77,48211,0.4,1.1,4.2,12.3,19.4,13.6,3.6,1.5,0.5,0.2
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","100 - 102",132,269,937,3438,7690,7833,2794,1303,468,179,46,43451,0.3,0.6,2.2,7.9,17.7,18,6.4,3,1.1,0.4
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","102.5 - 104.5",112,157,627,2154,6114,8561,4335,2296,856,343,51,45163,0.2,0.3,1.4,4.8,13.6,19,9.6,5.1,1.9,0.8
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","105 - 107",82,84,317,1039,3579,6439,4727,3062,1372,601,34,37353,0.2,0.2,0.8,2.8,9.6,17.3,12.7,8.2,3.7,1.6
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","107.5 - 109.5",52,38,117,371,1513,3390,3445,2676,1595,798,8,24826,0.2,0.2,0.5,1.5,6.1,13.7,13.9,10.8,6.4,3.2
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","110 - 113",24,14,38,122,555,1526,2149,2287,1666,1316,8,16827,0.1,0.1,0.2,0.7,3.3,9.1,12.8,13.6,9.9,7.8
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","113.5 - 116.5",5,1,7,23,69,211,399,631,696,958,4,4961,0.1,0,0.1,0.5,1.4,4.3,8,12.7,14,19.3
202021,"Academic year","National","E92000001","England","Final","Disadvantage","Non Disadvantaged Pupils","117 - 120",0,1,0,2,4,11,37,57,96,289,1,726,0,0.1,0,0.3,0.6,1.5,5.1,7.9,13.2,39.9
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","Less than 80",73,222,247,175,128,72,23,19,3,3,23,1594,4.6,14.1,15.7,11.1,8.1,4.6,1.5,1.2,0.2,0.2
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","80 - 89.5",97,349,650,566,325,138,34,13,6,1,10,3782,2.6,9.3,17.2,15,8.6,3.7,0.9,0.3,0.2,0
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","90 - 95.5",69,257,773,1461,1398,910,254,123,41,20,12,9349,0.7,2.8,8.3,15.6,15,9.7,2.7,1.3,0.4,0.2
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","96 - 99.5",36,121,385,1107,1818,1596,667,315,145,62,17,10989,0.3,1.1,3.5,10.1,16.6,14.5,6.1,2.9,1.3,0.6
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","100 - 102",23,56,191,550,1178,1361,759,442,200,100,9,8564,0.3,0.7,2.2,6.4,13.8,15.9,8.9,5.2,2.3,1.2
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","102.5 - 104.5",21,35,112,336,858,1247,863,610,295,170,7,8120,0.3,0.4,1.4,4.1,10.6,15.4,10.6,7.5,3.6,2.1
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","105 - 107",10,21,62,157,419,751,794,568,319,204,3,5712,0.2,0.4,1.1,2.8,7.3,13.2,13.9,9.9,5.6,3.6
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","107.5 - 109.5",5,10,27,64,179,357,392,409,283,184,2,3401,0.1,0.3,0.8,1.9,5.3,10.5,11.5,12,8.3,5.4
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","110 - 113",4,2,8,26,72,159,221,284,226,245,2,2179,0.2,0.1,0.4,1.2,3.3,7.3,10.2,13,10.4,11.3
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","113.5 - 116.5",0,1,2,2,9,10,34,68,87,111,0,539,0,0.2,0.4,0.4,1.7,1.9,6.3,12.6,16.1,20.6
202021,"Academic year","National","E92000001","England","Final","EAL","EAL Pupils","117 - 120",0,0,0,0,0,3,10,9,9,19,0,81,0,0,0,0,0,3.7,12.3,11.1,11.1,23.5
202021,"Academic year","National","E92000001","England","Final","EAL","Non EAL Pupils","Less than 80",104,508,652,301,88,36,8,2,2,1,32,2855,3.7,18,23.1,10.7,3.1,1.3,0.3,0.1,0.1,0
202021,"Academic year","National","E92000001","England","Final","EAL","Non EAL Pupils","80 - 89.5",518,1818,3447,2598,936,239,15,7,2,1,110,16781,3.1,10.9,20.7,15.6,5.6,1.4,0.1,0,0,0
