"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","Less than 80",3,1,0,0,0,0,0,1,0,0,0,0,5,20,0,0,0,0,0,20,0,0,60,0,0
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","80 - 89.5",5,1,4,2,0,1,0,0,0,0,1,0,14,7.1,28.6,14.3,0,7.1,0,0,0,0,35.7,7.1,0
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","90 - 95.5",11,5,5,11,6,2,1,0,0,0,1,0,42,11.9,11.9,26.2,14.3,4.8,2.4,0,0,0,26.2,2.4,0
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","96 - 99.5",12,7,16,4,9,13,2,2,1,0,0,0,66,10.6,24.2,6.1,13.6,19.7,3,3,1.5,0,18.2,0,0
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","100 - 102",4,8,7,11,9,12,12,5,3,0,0,1,72,11.1,9.7,15.3,12.5,16.7,16.7,6.9,4.2,0,5.6,0,1.4
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","102.5 - 104.5",5,6,8,13,17,14,17,11,3,1,2,1,98,6.1,8.2,13.3,17.3,14.3,17.3,11.2,3.1,1,5.1,2,1
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","105 - 107",6,6,5,9,18,19,15,12,6,4,2,0,102,5.9,4.9,8.8,17.6,18.6,14.7,11.8,5.9,3.9,5.9,2,0
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","107.5 - 109.5",2,2,4,5,12,17,22,31,19,10,0,3,127,1.6,3.1,3.9,9.4,13.4,17.3,24.4,15,7.9,1.6,0,2.4
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","110 - 113",0,2,3,1,11,14,30,26,19,15,0,7,128,1.6,2.3,0.8,8.6,10.9,23.4,20.3,14.8,11.7,0,0,5.5
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","113.5 - 116.5",0,0,0,2,5,3,23,29,21,26,0,2,111,0,0,1.8,4.5,2.7,20.7,26.1,18.9,23.4,0,0,1.8
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Ancient History","117 - 120",0,0,0,0,0,0,4,9,17,20,0,1,51,0,0,0,0,0,7.8,17.6,33.3,39.2,0,0,2
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","Less than 80",27,202,462,703,537,331,176,66,24,8,36,65,2637,7.7,17.5,26.7,20.4,12.6,6.7,2.5,0.9,0.3,1,1.4,2.5
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","80 - 89.5",91,523,1161,2236,2234,1463,785,204,88,36,107,194,9122,5.7,12.7,24.5,24.5,16,8.6,2.2,1,0.4,1,1.2,2.1
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","90 - 95.5",131,638,1540,3304,3963,3465,2338,784,323,120,144,351,17101,3.7,9,19.3,23.2,20.3,13.7,4.6,1.9,0.7,0.8,0.8,2.1
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","96 - 99.5",109,557,1390,3404,4456,4796,3812,1605,713,311,132,373,21658,2.6,6.4,15.7,20.6,22.1,17.6,7.4,3.3,1.4,0.5,0.6,1.7
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","100 - 102",72,396,985,2374,3600,4433,4028,1873,938,477,120,379,19675,2,5,12.1,18.3,22.5,20.5,9.5,4.8,2.4,0.4,0.6,1.9
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","102.5 - 104.5",72,355,930,2393,3670,5074,5260,2711,1503,716,112,423,23219,1.5,4,10.3,15.8,21.9,22.7,11.7,6.5,3.1,0.3,0.5,1.8
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","105 - 107",70,236,716,1837,3244,4614,5490,3380,1956,1187,91,481,23302,1,3.1,7.9,13.9,19.8,23.6,14.5,8.4,5.1,0.3,0.4,2.1
202122,"Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Art and Design","107.5 - 109.5",38,138,383,1129,1984,3270,4591,3478,2178,1324,81,351,18945,0.7,2,6,10.5,17.3,24.2,18.4,11.5,7,0.2,0.4,1.9
