"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","KS2_Prior","num_11","num_21","num_22","num_32","num_33","num_43","num_44","num_54","num_55","num_65","num_66","num_76","num_77","num_87","num_88","num_98","num_99","num_UU","num_XX","num_covid_impacted","all_grades","perc_UU","perc_11","perc_21","perc_22","perc_32","perc_33","perc_43","perc_44","perc_54","perc_55","perc_65","perc_66","perc_76","perc_77","perc_87","perc_88","perc_98","perc_99","perc_XX","per_covid_impacted_double"
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","Less than 80",567,783,807,634,495,335,159,130,154,23,30,19,12,9,6,6,2,238,84,3,4496,5.3,12.6,17.4,17.9,14.1,11,7.4,3.5,2.9,3.4,0.5,0.7,0.4,0.3,0.2,0.1,0.1,0,1.9,0.1
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","80 - 89.5",1777,3077,3949,3874,2723,1703,621,448,347,39,25,40,24,8,6,0,6,792,463,11,19933,4,8.9,15.4,19.8,19.4,13.7,8.5,3.1,2.2,1.7,0.2,0.1,0.2,0.1,0,0,0,0,2.3,0.1
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","90 - 95.5",1433,2668,4626,7047,7907,7014,3404,2379,2069,366,254,186,118,65,32,20,7,957,653,9,41214,2.3,3.5,6.5,11.2,17.1,19.2,17,8.3,5.8,5,0.9,0.6,0.5,0.3,0.2,0.1,0,0,1.6,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","96 - 99.5",953,1743,3147,5870,9387,10918,7376,5988,5702,1393,991,671,404,247,101,50,37,987,596,9,56570,1.7,1.7,3.1,5.6,10.4,16.6,19.3,13,10.6,10.1,2.5,1.8,1.2,0.7,0.4,0.2,0.1,0.1,1.1,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","100 - 102",554,989,1708,3429,6297,9450,7822,7267,7567,2346,1852,1217,741,436,236,115,68,933,494,9,53530,1.7,1,1.8,3.2,6.4,11.8,17.7,14.6,13.6,14.1,4.4,3.5,2.3,1.4,0.8,0.4,0.2,0.1,0.9,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","102.5 - 104.5",416,727,1339,2575,5045,8929,8584,9319,10540,4112,3369,2504,1577,955,564,248,178,971,425,15,62392,1.6,0.7,1.2,2.1,4.1,8.1,14.3,13.8,14.9,16.9,6.6,5.4,4,2.5,1.5,0.9,0.4,0.3,0.7,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","105 - 107",281,406,772,1537,3083,5940,6911,8402,10452,5166,4777,3810,2455,1666,1043,522,360,883,361,5,58832,1.5,0.5,0.7,1.3,2.6,5.2,10.1,11.7,14.3,17.8,8.8,8.1,6.5,4.2,2.8,1.8,0.9,0.6,0.6,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","107.5 - 109.5",106,168,337,635,1320,2794,3764,5178,7254,4655,4436,3878,2871,2042,1386,785,650,477,237,3,42976,1.1,0.2,0.4,0.8,1.5,3.1,6.5,8.8,12,16.9,10.8,10.3,9,6.7,4.8,3.2,1.8,1.5,0.6,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","110 - 113",58,78,140,273,514,1264,1794,2882,4443,3496,3768,3699,3023,2421,1923,1318,1376,298,122,5,32895,0.9,0.2,0.2,0.4,0.8,1.6,3.8,5.5,8.8,13.5,10.6,11.5,11.2,9.2,7.4,5.8,4,4.2,0.4,0
"202122","Academic year","National","E92000001","England","Revised","All Pupils","All Pupils","113.5 - 116.5",7,8,14,30,91,176,343,595,1016,874,1185,1339,1355,1170,1144,945,1306,52,37,1,11688,0.4,0.1,0.1,0.1,0.3,0.8,1.5,2.9,5.1,8.7,7.5,10.1,11.5,11.6,10,9.8,8.1,11.2,0.3,0
