time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,KS2_Prior,EBacc_all_Entered,EBacc_all_Not_Entered,EBacc_all_perc_Entered,EBacc_all_perc_Not_Entered,EBacc_9-4_Achieved,EBacc_9-4_Not_Achieved,EBacc_9-4_perc_Achieved,EBacc_9-4_perc_Not_Achieved,EBacc_9-5_Achieved,EBacc_9-5_Not_Achieved,EBacc_9-5_perc_Achieved,EBacc_9-5_perc_Not_Achieved,Basics_9-4_Achieved,Basics_9-4_Not_Achieved,Basics_9-4_perc_Achieved,Basics_9-4_perc_Not_Achieved,Basics_9-5_Achieved,Basics_9-5_Not_Achieved,Basics_9-5_perc_Achieved,Basics_9-5_perc_Not_Achieved
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,Less than 80,453,12106,3.6,96.4,91,12468,0.7,99.3,42,12517,0.3,99.7,335,12224,2.7,97.3,135,12424,1.1,98.9
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,80 - 89.5,1602,18424,8,92,65,19961,0.3,99.7,23,20003,0.1,99.9,687,19339,3.4,96.6,156,19870,0.8,99.2
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,90 - 95.5,5693,34560,14.1,85.9,560,39693,1.4,98.6,169,40084,0.4,99.6,5500,34753,13.7,86.3,1273,38980,3.2,96.8
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,96 - 99.5,12235,44789,21.5,78.5,2345,54679,4.1,95.9,785,56239,1.4,98.6,19344,37680,33.9,66.1,5836,51188,10.2,89.8
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,100 - 102,17148,41780,29.1,70.9,5322,53606,9,91,2000,56928,3.4,96.6,30697,28231,52.1,47.9,12509,46419,21.2,78.8
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,102.5 - 104.5,27241,50459,35.1,64.9,11553,66147,14.9,85.1,5341,72359,6.9,93.1,50960,26740,65.6,34.4,26108,51592,33.6,66.4
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,105 - 107,37442,51252,42.2,57.8,20526,68168,23.1,76.9,11307,77387,12.7,87.3,69111,19583,77.9,22.1,44009,44685,49.6,50.4
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,107.5 - 109.5,39595,39936,49.8,50.2,26805,52726,33.7,66.3,17897,61634,22.5,77.5,69425,10106,87.3,12.7,53031,26500,66.7,33.3
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,110 - 113,47152,34240,57.9,42.1,38032,43360,46.7,53.3,29578,51814,36.3,63.7,76356,5036,93.8,6.2,67114,14278,82.5,17.5
202223,Academic year,National,E92000001,England,Provisional,All Pupils,All Pupils,113.5 - 116.5,27223,13583,66.7,33.3,24660,16146,60.4,39.6,21763,19043,53.3,46.7,39855,951,97.7,2.3,38004,2802,93.1,6.9
