time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,subject,qualification_type,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_u,num_x,num_covid_impacted,all_grades,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_u,perc_x,perc_covid_impacted
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,Total,Ancient History,GCSE,23,31,25,26,22,18,19,9,2,28,3,0,206,11.2,15,12.1,12.6,10.7,8.7,9.2,4.4,1,13.6,1.5,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,Less than 80,Ancient History,GCSE,1,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,80 - 89.5,Ancient History,GCSE,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,25,0,0,0,0,0,0,75,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,90 - 95.5,Ancient History,GCSE,4,4,3,2,0,0,0,0,0,3,2,0,18,22.2,22.2,16.7,11.1,0,0,0,0,0,16.7,11.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,96 - 99.5,Ancient History,GCSE,5,3,2,2,3,1,0,0,0,3,0,0,19,26.3,15.8,10.5,10.5,15.8,5.3,0,0,0,15.8,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,100 - 102,Ancient History,GCSE,1,7,1,2,2,0,0,0,0,6,0,0,19,5.3,36.8,5.3,10.5,10.5,0,0,0,0,31.6,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,102.5 - 104.5,Ancient History,GCSE,5,2,6,4,2,3,2,0,0,6,0,0,30,16.7,6.7,20,13.3,6.7,10,6.7,0,0,20,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,105 - 107,Ancient History,GCSE,3,8,5,7,8,5,1,2,0,4,1,0,44,6.8,18.2,11.4,15.9,18.2,11.4,2.3,4.5,0,9.1,2.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,107.5 - 109.5,Ancient History,GCSE,2,6,2,6,3,2,9,2,0,3,0,0,35,5.7,17.1,5.7,17.1,8.6,5.7,25.7,5.7,0,8.6,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,110 - 113,Ancient History,GCSE,1,0,3,1,3,4,4,1,1,0,0,0,18,5.6,0,16.7,5.6,16.7,22.2,22.2,5.6,5.6,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,113.5 - 116.5,Ancient History,GCSE,1,0,0,1,0,3,2,3,0,0,0,0,10,10,0,0,10,0,30,20,30,0,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,117 - 120,Ancient History,GCSE,0,1,0,0,1,0,1,1,1,0,0,0,5,0,20,0,0,20,0,20,20,20,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,No scaled score,Ancient History,GCSE,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,66.7,33.3,0,0,0,0,0,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,Total,Ancient History,GCSE,50,65,92,92,132,151,151,110,90,62,11,0,1006,5,6.5,9.1,9.1,13.1,15,15,10.9,8.9,6.2,1.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,Less than 80,Ancient History,GCSE,1,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,80 - 89.5,Ancient History,GCSE,2,2,1,0,0,0,0,0,0,5,0,0,10,20,20,10,0,0,0,0,0,0,50,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,90 - 95.5,Ancient History,GCSE,7,1,4,1,1,0,2,0,0,10,1,0,27,25.9,3.7,14.8,3.7,3.7,0,7.4,0,0,37,3.7,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,96 - 99.5,Ancient History,GCSE,6,4,11,8,6,3,0,1,0,9,1,0,49,12.2,8.2,22.4,16.3,12.2,6.1,0,2,0,18.4,2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,100 - 102,Ancient History,GCSE,4,8,16,12,7,6,1,1,0,9,0,0,64,6.3,12.5,25,18.8,10.9,9.4,1.6,1.6,0,14.1,0,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,102.5 - 104.5,Ancient History,GCSE,4,16,16,17,18,8,7,2,0,9,2,0,99,4,16.2,16.2,17.2,18.2,8.1,7.1,2,0,9.1,2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,105 - 107,Ancient History,GCSE,7,18,13,13,29,18,13,6,0,3,3,0,123,5.7,14.6,10.6,10.6,23.6,14.6,10.6,4.9,0,2.4,2.4,0
