time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type_group,breakdown_topic,breakdown,ks2_scaled_score_group,subject,qualification_type,num_11,num_21,num_22,num_32,num_33,num_43,num_44,num_54,num_55,num_65,num_66,num_76,num_77,num_87,num_88,num_98,num_99,num_u,num_x,num_covid_impacted,all_grades,perc_11,perc_21,perc_22,perc_32,perc_33,perc_43,perc_44,perc_54,perc_55,perc_65,perc_66,perc_76,perc_77,perc_87,perc_88,perc_98,perc_99,perc_u,perc_x,perc_covid_impacted
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,Total,Combined Science,GCSE,5775,7986,10464,13330,15024,15536,12084,10970,10595,4451,4046,3101,1952,1348,908,561,500,6001,2541,0,127173,4.5,6.3,8.2,10.5,11.8,12.2,9.5,8.6,8.3,3.5,3.2,2.4,1.5,1.1,0.7,0.4,0.4,4.7,2,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,Less than 80,Combined Science,GCSE,340,327,263,209,132,77,48,43,38,14,9,6,3,1,1,1,0,369,65,0,1946,17.5,16.8,13.5,10.7,6.8,4,2.5,2.2,2,0.7,0.5,0.3,0.2,0.1,0.1,0.1,0,19,3.3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,80 - 89.5,Combined Science,GCSE,1392,1679,1520,1112,658,347,134,86,62,11,19,6,2,3,2,0,1,1251,332,0,8617,16.2,19.5,17.6,12.9,7.6,4,1.6,1,0.7,0.1,0.2,0.1,0,0,0,0,0,14.5,3.9,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,90 - 95.5,Combined Science,GCSE,1306,1870,2490,2654,2155,1463,701,392,248,46,57,25,17,15,5,1,0,1048,453,0,14946,8.7,12.5,16.7,17.8,14.4,9.8,4.7,2.6,1.7,0.3,0.4,0.2,0.1,0.1,0,0,0,7,3,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,96 - 99.5,Combined Science,GCSE,868,1280,2087,2822,3011,2517,1427,1028,723,197,130,90,47,25,21,10,2,806,415,0,17506,5,7.3,11.9,16.1,17.2,14.4,8.2,5.9,4.1,1.1,0.7,0.5,0.3,0.1,0.1,0.1,0,4.6,2.4,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,100 - 102,Combined Science,GCSE,465,789,1297,2043,2533,2668,1806,1455,1187,337,263,165,80,47,21,9,6,520,305,0,15996,2.9,4.9,8.1,12.8,15.8,16.7,11.3,9.1,7.4,2.1,1.6,1,0.5,0.3,0.1,0.1,0,3.3,1.9,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,102.5 - 104.5,Combined Science,GCSE,352,641,1038,1784,2579,3044,2499,2103,1935,696,575,351,222,114,52,30,24,534,325,0,18898,1.9,3.4,5.5,9.4,13.6,16.1,13.2,11.1,10.2,3.7,3,1.9,1.2,0.6,0.3,0.2,0.1,2.8,1.7,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,105 - 107,Combined Science,GCSE,247,396,640,1130,1807,2456,2348,2319,2266,995,768,572,325,195,111,76,27,375,236,0,17289,1.4,2.3,3.7,6.5,10.5,14.2,13.6,13.4,13.1,5.8,4.4,3.3,1.9,1.1,0.6,0.4,0.2,2.2,1.4,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,107.5 - 109.5,Combined Science,GCSE,124,162,281,509,882,1392,1495,1657,1806,942,836,712,424,277,172,89,72,203,136,0,12171,1,1.3,2.3,4.2,7.2,11.4,12.3,13.6,14.8,7.7,6.9,5.8,3.5,2.3,1.4,0.7,0.6,1.7,1.1,0
202324,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,110 - 113,Combined Science,GCSE,58,66,123,229,396,671,823,1049,1280,736,808,678,465,356,261,148,118,119,83,0,8467,0.7,0.8,1.5,2.7,4.7,7.9,9.7,12.4,15.1,8.7,9.5,8,5.5,4.2,3.1,1.7,1.4,1.4,1,0
